,Name of movie,Year of release,Genre,Movie Rating,Votes,Gross,Summary,Director,Cast
0,The Kashmir Files,2022,Drama,  8.3 ,"548,107",****,"The Kashmir Files' is a story, based on video interviews of the first generation victims of the Genocide of Kashmiri Pandit Community In 1990.",Vivek Agnihotri,"['Mithun Chakraborty', 'Anupam Kher', 'Darshan Kumaar', 'Pallavi Joshi']"
1,3 Idiots,2009,"Comedy, Drama",  8.4 ,"387,084",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi']"
2,Taare Zameen Par,2007,"Drama, Family",  8.3 ,"188,961",$1.22M,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Directors:Aamir Khan, Amole Gupte","['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra', 'Vipin Sharma']"
3,Dangal,2016,"Action, Biography, Drama",  8.3 ,"183,495",$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']"
4,PK,2014,"Comedy, Drama, Sci-Fi",  8.1 ,"180,136",$10.62M,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,Rajkumar Hirani,"['Aamir Khan', 'Anushka Sharma', 'Sanjay Dutt', 'Boman Irani']"
5,Valerian and the City of a Thousand Planets,2017,"Action, Adventure, Fantasy",  6.4 ,"178,473",$41.19M,"A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.",Luc Besson,"['Dane DeHaan', 'Cara Delevingne', 'Clive Owen', 'Rihanna']"
6,Radhe,2021,"Action, Crime, Thriller",  1.9 ,"176,733",****,"After taking the dreaded gangster Gani Bhai, ACP Rajveer Shikawat aka Radhe goes on a manhunt to find the wealthiest man of the town secretly running a crime syndicate.",Prabhu Deva,"['Salman Khan', 'Disha Patani', 'Randeep Hooda', 'Jackie Shroff']"
7,Dil Bechara,2020,"Comedy, Drama, Romance",  8.1 ,"128,821",****,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",Mukesh Chhabra,"['Sushant Singh Rajput', 'Sanjana Sanghi', 'Sahil Vaid', 'Saswata Chatterjee']"
8,Rang De Basanti,2006,"Comedy, Crime, Drama",  8.1 ,"118,227",$2.20M,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,"['Aamir Khan', 'Soha Ali Khan', 'Siddharth', 'Sharman Joshi']"
9,Shershaah,2021,"Action, Biography, Drama",  8.4 ,"117,204",****,"The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999.",Vishnuvardhan,"['Sidharth Malhotra', 'Kiara Advani', 'Shiv Panditt', 'Pranay Pachauri']"
10,Lagaan: Once Upon a Time in India,2001,"Drama, Musical, Sport",  8.1 ,"112,267",$0.07M,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Ashutosh Gowariker,"['Aamir Khan', 'Raghuvir Yadav', 'Gracy Singh', 'Rachel Shelley']"
11,My Name Is Khan,2010,"Drama, Romance",  7.9 ,"105,512",$4.02M,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Karan Johar,"['Shah Rukh Khan', 'Kajol', 'Sheetal Menon', 'Katie Amanda Keane']"
12,Sadak 2,2020,"Action, Drama",  1.1 ,"94,789",****,"The film picks up where Sadak left off, revolving around the journey with a young girl who becomes an important character in the life of the protagonist, and the reason for him to stay alive.",Mahesh Bhatt,"['Alia Bhatt', 'Sanjay Dutt', 'Priyanka Bose', 'Aditya Roy Kapoor']"
13,Gangs of Wasseypur,2012,"Action, Comedy, Crime",  8.2 ,"93,904",****,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,"['Manoj Bajpayee', 'Richa Chadha', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia']"
14,Andhadhun,2018,"Comedy, Crime, Music",  8.2 ,"89,476",$1.37M,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Sriram Raghavan,"['Ayushmann Khurrana', 'Tabu', 'Radhika Apte', 'Anil Dhawan']"
15,"Swades: We, the People",2004,"Drama, Musical",  8.1 ,"89,244",$1.22M,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Ashutosh Gowariker,"['Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Ballal', 'Smith Seth']"
16,Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",  8.1 ,"85,262",$8.18M,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Kabir Khan,"['Salman Khan', 'Harshaali Malhotra', 'Nawazuddin Siddiqui', 'Kareena Kapoor']"
17,Barfi!,2012,"Comedy, Drama, Romance",  8.1 ,"80,887",$2.80M,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,Anurag Basu,"['Ranbir Kapoor', 'Priyanka Chopra Jonas', ""Ileana D'Cruz"", 'Saurabh Shukla']"
18,Munna Bhai M.B.B.S.,2003,"Comedy, Drama",  8.1 ,"80,499",****,A gangster sets out to fulfill his father's dream of becoming a doctor.,Rajkumar Hirani,"['Sanjay Dutt', 'Arshad Warsi', 'Gracy Singh', 'Boman Irani']"
